id,gender,instagram_followers,linkedin_con,texts_yesterday,phones_owned,apps_phone,os_phone,like_social,like_tech
1,male,0,642,47,7,101,Android,Undecided,Undecided
2,female,155,157,150,8,44,iOS,Agree,Agree
3,female,169,119,20,5,65,iOS,Agree,Agree
4,male,,150,100,5,67,Android,Agree,Strongly agree
5,male,25,120,420,2,70,Android,Undecided,Agree
6,male,0,187,20,4,42,Android,Agree,Agree
7,female,,,,,,,,
8,female,203,203,143,3,49,Android,Agree,Agree
9,female,,,,,,,,
10,male,126,119,85,7,132,iOS,Agree,Agree
11,male,0,171,150,3,152,Android,Agree,Agree
12,male,184,1000,1000,24,2999,Android,Agree,Strongly agree
13,female,131,399,27,8,70,Android,Undecided,Agree
14,male,745,495,60,5,20,iOS,Agree,Agree
15,female,0,204,21,15,30,Android,Undecided,Agree
16,female,350,361,112,8,65,,Agree,Agree
17,male,285,329,76,5,92,Android,Agree,Agree
18,female,105,83,50,6,96,Android,Disagree,Agree
19,female,184,348,40,7,143,iOS,Undecided,Agree
20,male,102,227,85,7,53,Android,Disagree,Agree
21,male,568,297,34,6,130,IOS,Agree,Strongly agree
22,male,163,154,150,5,117,IOS,Agree,Agree
23,female,268,211,0,5,50,iOS,Agree,Agree
24,male,0,113,200,6,120,Android,Agree,Strongly agree
25,male,403,373,80,12,45,iOS,Undecided,Strongly agree
26,male,18000,,0,2,,iOS,Undecided,Strongly agree
